sample,replicate,particlesize,,
pseudofaeces,e,100,,
pseudofaeces,e,100,,
pseudofaeces,e,100,,
pseudofaeces,e,100,,
pseudofaeces,e,100,,
pseudofaeces,e,100,,
pseudofaeces,e,100,,
pseudofaeces,e,100,,
pseudofaeces,e,105,,
pseudofaeces,e,105,,
pseudofaeces,e,105,,
pseudofaeces,e,105,,
pseudofaeces,e,105,,
pseudofaeces,e,105,,
pseudofaeces,e,105,,
pseudofaeces,e,110,,
pseudofaeces,e,110,,
pseudofaeces,e,110,,
pseudofaeces,e,120,,
pseudofaeces,f,65,,
pseudofaeces,f,70,,
pseudofaeces,f,70,,
pseudofaeces,f,70,,
pseudofaeces,f,70,,
pseudofaeces,f,80,,
pseudofaeces,f,80,,
pseudofaeces,f,80,,
pseudofaeces,f,80,,
pseudofaeces,f,80,,
pseudofaeces,f,80,,
pseudofaeces,f,80,,
pseudofaeces,f,80,,
pseudofaeces,f,85,,
pseudofaeces,f,90,,
pseudofaeces,f,90,,
pseudofaeces,f,95,,
pseudofaeces,f,95,,
pseudofaeces,f,95,,
pseudofaeces,f,95,,
pseudofaeces,f,95,,
pseudofaeces,f,95,,
pseudofaeces,f,95,,
pseudofaeces,f,95,,
pseudofaeces,f,95,,
pseudofaeces,f,95,,
pseudofaeces,f,100,,
pseudofaeces,f,105,,
pseudofaeces,f,105,,
pseudofaeces,f,105,,
pseudofaeces,f,105,,
pseudofaeces,f,105,,
pseudofaeces,f,110,,
pseudofaeces,f,110,,
pseudofaeces,f,110,,
pseudofaeces,f,120,,
pseudofaeces,f,135,,
pseudofaeces,f,135,,
pseudofaeces,f,140,,
pseudofaeces,f,140,,
pseudofaeces,f,140,,
pseudofaeces,g,50,,
pseudofaeces,g,55,,
pseudofaeces,g,65,,
pseudofaeces,g,65,,
pseudofaeces,g,70,,
pseudofaeces,g,70,,
pseudofaeces,g,70,,
pseudofaeces,g,70,,
pseudofaeces,g,70,,
pseudofaeces,g,70,,
pseudofaeces,g,75,,
pseudofaeces,g,75,,
pseudofaeces,g,75,,
pseudofaeces,g,75,,
pseudofaeces,g,80,,
pseudofaeces,g,80,,
pseudofaeces,g,85,,
pseudofaeces,g,85,,
pseudofaeces,g,85,,
pseudofaeces,g,85,,
pseudofaeces,g,85,,
pseudofaeces,g,85,,
pseudofaeces,g,85,,
pseudofaeces,g,85,,
pseudofaeces,g,85,,
pseudofaeces,g,85,,
pseudofaeces,g,85,,
pseudofaeces,g,90,,
pseudofaeces,g,90,,
pseudofaeces,g,90,,
pseudofaeces,g,90,,
pseudofaeces,g,90,,
pseudofaeces,g,90,,
pseudofaeces,g,90,,
pseudofaeces,g,90,,
pseudofaeces,g,90,,
pseudofaeces,g,90,,
pseudofaeces,g,90,,
pseudofaeces,g,90,,
pseudofaeces,g,90,,
pseudofaeces,g,95,,
pseudofaeces,g,95,,
pseudofaeces,g,95,,
pseudofaeces,g,95,,
pseudofaeces,g,100,,
pseudofaeces,g,100,,
pseudofaeces,g,100,,
pseudofaeces,g,100,,
pseudofaeces,g,100,,
pseudofaeces,g,100,,
pseudofaeces,g,100,,
pseudofaeces,g,100,,
pseudofaeces,g,100,,
pseudofaeces,g,100,,
pseudofaeces,g,100,,
pseudofaeces,g,100,,
pseudofaeces,g,100,,
pseudofaeces,g,100,,
pseudofaeces,g,105,,
pseudofaeces,g,105,,
pseudofaeces,g,105,,
pseudofaeces,g,105,,
pseudofaeces,g,105,,
pseudofaeces,g,105,,
pseudofaeces,g,105,,
pseudofaeces,g,105,,
pseudofaeces,g,105,,
pseudofaeces,g,105,,
pseudofaeces,g,105,,
pseudofaeces,g,105,,
pseudofaeces,g,105,,
pseudofaeces,g,110,,
pseudofaeces,g,110,,
pseudofaeces,g,110,,
pseudofaeces,g,110,,
pseudofaeces,g,110,,
pseudofaeces,g,115,,
pseudofaeces,g,115,,
pseudofaeces,g,115,,
pseudofaeces,g,115,,
pseudofaeces,g,125,,
pseudofaeces,g,125,,
pseudofaeces,g,125,,
pseudofaeces,g,130,,
pseudofaeces,g,130,,
pseudofaeces,g,140,,
pseudofaeces,g,140,,
pseudofaeces,g,145,,
pseudofaeces,h,50,,
pseudofaeces,h,50,,
pseudofaeces,h,50,,
pseudofaeces,h,50,,
pseudofaeces,h,55,,
pseudofaeces,h,55,,
pseudofaeces,h,55,,
pseudofaeces,h,55,,
pseudofaeces,h,55,,
pseudofaeces,h,55,,
pseudofaeces,h,55,,
pseudofaeces,h,55,,
pseudofaeces,h,70,,
pseudofaeces,h,70,,
pseudofaeces,h,70,,
pseudofaeces,h,70,,
pseudofaeces,h,70,,
pseudofaeces,h,70,,
pseudofaeces,h,75,,
pseudofaeces,h,75,,
pseudofaeces,h,75,,
pseudofaeces,h,85,,
pseudofaeces,h,85,,
pseudofaeces,h,85,,
pseudofaeces,h,85,,
pseudofaeces,h,85,,
pseudofaeces,h,85,,
pseudofaeces,h,85,,
pseudofaeces,h,85,,
pseudofaeces,h,85,,
pseudofaeces,h,90,,
pseudofaeces,h,90,,
pseudofaeces,h,90,,
pseudofaeces,h,95,,
pseudofaeces,h,95,,
pseudofaeces,h,95,,
pseudofaeces,h,95,,
pseudofaeces,h,95,,
pseudofaeces,h,95,,
pseudofaeces,h,95,,
pseudofaeces,h,95,,
pseudofaeces,h,95,,
pseudofaeces,h,95,,
pseudofaeces,h,95,,
pseudofaeces,h,95,,
pseudofaeces,h,95,,
pseudofaeces,h,95,,
pseudofaeces,h,95,,
pseudofaeces,h,95,,
pseudofaeces,h,100,,
pseudofaeces,h,100,,
pseudofaeces,h,100,,
pseudofaeces,h,100,,
pseudofaeces,h,100,,
pseudofaeces,h,100,,
pseudofaeces,h,100,,
pseudofaeces,h,100,,
pseudofaeces,h,100,,
pseudofaeces,h,100,,
pseudofaeces,h,100,,
pseudofaeces,h,105,,
pseudofaeces,h,105,,
pseudofaeces,h,105,,
pseudofaeces,h,105,,
pseudofaeces,h,105,,
pseudofaeces,h,105,,
pseudofaeces,h,105,,
pseudofaeces,h,105,,
pseudofaeces,h,110,,
pseudofaeces,h,110,,
pseudofaeces,h,110,,
pseudofaeces,h,110,,
pseudofaeces,h,110,,
pseudofaeces,h,115,,
pseudofaeces,h,115,,
pseudofaeces,h,115,,
pseudofaeces,h,120,,
pseudofaeces,h,120,,
pseudofaeces,h,125,,
pseudofaeces,h,125,,
pseudofaeces,h,130,,
pseudofaeces,h,130,,
pseudofaeces,h,140,,
pseudofaeces,h,140,,
pseudofaeces,h,140,,
pure,a,25,,
pure,a,30,,
pure,a,30,,
pure,a,40,,
pure,a,40,,
pure,a,40,,
pure,a,40,,
pure,a,45,,
pure,a,50,,
pure,a,50,,
pure,a,50,,
pure,a,50,,
pure,a,50,,
pure,a,50,,
pure,a,50,,
pure,a,50,,
pure,a,50,,
pure,a,50,,
pure,a,55,,
pure,a,55,,
pure,a,55,,
pure,a,60,,
pure,a,60,,
pure,a,60,,
pure,a,60,,
pure,a,60,,
pure,a,60,,
pure,a,60,,
pure,a,60,,
pure,a,60,,
pure,a,60,,
pure,a,60,,
pure,a,60,,
pure,a,65,,
pure,a,65,,
pure,a,65,,
pure,a,65,,
pure,a,65,,
pure,a,65,,
pure,a,65,,
pure,a,70,,
pure,a,70,,
pure,a,70,,
pure,a,70,,
pure,a,70,,
pure,a,70,,
pure,a,75,,
pure,a,75,,
pure,a,75,,
pure,a,75,,
pure,a,75,,
pure,a,75,,
pure,a,75,,
pure,a,80,,
pure,a,80,,
pure,a,80,,
pure,a,80,,
pure,a,80,,
pure,a,80,,
pure,a,80,,
pure,a,85,,
pure,a,85,,
pure,a,90,,
pure,a,90,,
pure,a,90,,
pure,a,90,,
pure,a,95,,
pure,a,95,,
pure,a,95,,
pure,a,95,,
pure,a,95,,
pure,a,100,,
pure,a,100,,
pure,a,100,,
pure,a,100,,
pure,a,100,,
pure,a,100,,
pure,a,100,,
pure,a,100,,
pure,a,105,,
pure,a,105,,
pure,a,110,,
pure,a,115,,
pure,a,115,,
pure,a,120,,
pure,a,120,,
pure,b,30,,
pure,b,30,,
pure,b,40,,
pure,b,40,,
pure,b,40,,
pure,b,40,,
pure,b,40,,
pure,b,40,,
pure,b,40,,
pure,b,40,,
pure,b,50,,
pure,b,50,,
pure,b,50,,
pure,b,50,,
pure,b,50,,
pure,b,50,,
pure,b,50,,
pure,b,50,,
pure,b,50,,
pure,b,50,,
pure,b,60,,
pure,b,60,,
pure,b,60,,
pure,b,60,,
pure,b,60,,
pure,b,60,,
pure,b,60,,
pure,b,60,,
pure,b,60,,
pure,b,65,,
pure,b,65,,
pure,b,65,,
pure,b,65,,
pure,b,65,,
pure,b,65,,
pure,b,65,,
pure,b,65,,
pure,b,65,,
pure,b,65,,
pure,b,65,,
pure,b,70,,
pure,b,70,,
pure,b,70,,
pure,b,70,,
pure,b,70,,
pure,b,70,,
pure,b,70,,
pure,b,70,,
pure,b,75,,
pure,b,75,,
pure,b,75,,
pure,b,80,,
pure,b,80,,
pure,b,80,,
pure,b,80,,
pure,b,85,,
pure,b,85,,
pure,b,85,,
pure,b,90,,
pure,b,90,,
pure,b,90,,
pure,b,95,,
pure,b,95,,
pure,b,95,,
pure,b,95,,
pure,b,100,,
pure,b,100,,
pure,b,100,,
pure,b,100,,
pure,b,100,,
pure,b,100,,
pure,b,105,,
pure,b,105,,
pure,b,105,,
pure,b,110,,
pure,b,110,,
pure,b,115,,
pure,b,120,,
pure,b,120,,
pure,b,120,,
pure,b,130,,
pure,b,130,,
pure,b,140,,
pure,b,140,,
pure,c,40,,
pure,c,40,,
pure,c,40,,
pure,c,40,,
pure,c,40,,
pure,c,40,,
pure,c,40,,
pure,c,40,,
pure,c,40,,
pure,c,40,,
pure,c,50,,
pure,c,50,,
pure,c,50,,
pure,c,50,,
pure,c,50,,
pure,c,50,,
pure,c,55,,
pure,c,55,,
pure,c,55,,
pure,c,55,,
pure,c,55,,
pure,c,55,,
pure,c,55,,
pure,c,55,,
pure,c,55,,
pure,c,55,,
pure,c,55,,
pure,c,60,,
pure,c,60,,
pure,c,60,,
pure,c,60,,
pure,c,60,,
pure,c,60,,
pure,c,60,,
pure,c,65,,
pure,c,65,,
pure,c,65,,
pure,c,65,,
pure,c,65,,
pure,c,65,,
pure,c,70,,
pure,c,75,,
pure,c,75,,
pure,c,75,,
pure,c,75,,
pure,c,75,,
pure,c,75,,
pure,c,75,,
pure,c,75,,
pure,c,90,,
pure,c,90,,
pure,c,90,,
pure,c,90,,
pure,c,90,,
pure,c,95,,
pure,c,95,,
pure,c,95,,
pure,c,95,,
pure,c,100,,
pure,c,100,,
pure,c,100,,
pure,c,100,,
pure,c,100,,
pure,c,100,,
pure,c,100,,
pure,c,100,,
pure,c,100,,
pure,c,100,,
pure,c,100,,
pure,c,100,,
pure,c,100,,
pure,c,100,,
pure,c,100,,
pure,c,105,,
pure,c,105,,
pure,c,105,,
pure,c,110,,
pure,c,110,,
pure,c,115,,
pure,c,115,,
pure,c,120,,
pure,c,120,,
pure,c,125,,
pure,c,125,,
pure,c,125,,
pure,c,130,,
pure,c,130,,
pure,c,130,,
pure,c,130,,
pure,c,130,,
pure,c,140,,
pure,c,140,,
